	n_tr	n_ac_tr	n_cpdout	n_ac_cpdout	n_bothout	n_ac_bothout	prop_tr	prop_cpdout	prop_bothout
CHEMBL335-Seed1	177	16	94	5	7	1	0.6366906474820144	0.3381294964028777	0.025179856115107913
CHEMBL335-Seed4	177	11	92	10	9	1	0.6366906474820144	0.33093525179856115	0.03237410071942446
CHEMBL335-Seed7	184	13	86	8	8	1	0.6618705035971223	0.30935251798561153	0.02877697841726619
CHEMBL1871-Seed2	176	12	84	5	8	1	0.6567164179104478	0.31343283582089554	0.029850746268656716
CHEMBL1871-Seed4	185	6	75	11	8	1	0.6902985074626866	0.2798507462686567	0.029850746268656716
CHEMBL1871-Seed6	141	14	106	3	21	1	0.5261194029850746	0.39552238805970147	0.07835820895522388
CHEMBL225-Seed2	182	11	75	3	7	1	0.6893939393939394	0.2840909090909091	0.026515151515151516
CHEMBL225-Seed6	166	11	91	3	7	1	0.6287878787878788	0.3446969696969697	0.026515151515151516
CHEMBL225-Seed8	151	6	102	8	11	1	0.571969696969697	0.38636363636363635	0.041666666666666664
CHEMBL3759-Seed1	167	13	81	4	10	2	0.6472868217054264	0.313953488372093	0.03875968992248062
CHEMBL3759-Seed5	155	4	95	14	8	1	0.6007751937984496	0.3682170542635659	0.031007751937984496
CHEMBL3759-Seed6	170	9	78	9	10	1	0.6589147286821705	0.3023255813953488	0.03875968992248062
CHEMBL3105-Seed4	167	6	76	2	5	1	0.6733870967741935	0.3064516129032258	0.020161290322580645
CHEMBL3105-Seed5	158	5	82	3	8	1	0.6370967741935484	0.33064516129032256	0.03225806451612903
CHEMBL3105-Seed9	115	4	109	4	24	1	0.4637096774193548	0.43951612903225806	0.0967741935483871
CHEMBL259-Seed2	156	4	84	7	8	1	0.6290322580645161	0.3387096774193548	0.03225806451612903
CHEMBL259-Seed3	176	7	67	4	5	1	0.7096774193548387	0.2701612903225806	0.020161290322580645
CHEMBL259-Seed7	179	10	59	1	10	1	0.7217741935483871	0.23790322580645162	0.04032258064516129
CHEMBL238-Seed2	152	3	73	6	9	4	0.6495726495726496	0.31196581196581197	0.038461538461538464
CHEMBL238-Seed4	133	6	88	5	13	2	0.5683760683760684	0.37606837606837606	0.05555555555555555
CHEMBL238-Seed6	142	2	80	8	12	3	0.6068376068376068	0.3418803418803419	0.05128205128205128
CHEMBL1855-Seed1	155	11	68	4	8	1	0.670995670995671	0.2943722943722944	0.03463203463203463
CHEMBL1855-Seed4	125	10	95	5	11	1	0.5411255411255411	0.41125541125541126	0.047619047619047616
CHEMBL1855-Seed7	145	6	77	8	9	2	0.6277056277056277	0.3333333333333333	0.03896103896103896
CHEMBL260-Seed2	143	8	72	5	9	1	0.6383928571428571	0.32142857142857145	0.04017857142857143
CHEMBL260-Seed3	145	8	71	4	8	2	0.6473214285714286	0.3169642857142857	0.03571428571428571
CHEMBL260-Seed5	146	8	70	5	8	1	0.6517857142857143	0.3125	0.03571428571428571
CHEMBL3891-Seed6	146	4	61	7	7	1	0.6822429906542056	0.2850467289719626	0.03271028037383177
CHEMBL3891-Seed11	150	8	60	3	4	1	0.7009345794392523	0.2803738317757009	0.018691588785046728
CHEMBL3891-Seed12	162	6	49	5	3	1	0.7570093457943925	0.22897196261682243	0.014018691588785047
CHEMBL2000-Seed10	158	7	48	2	5	1	0.7488151658767772	0.22748815165876776	0.023696682464454975
CHEMBL2000-Seed13	143	5	61	4	7	1	0.6777251184834123	0.2890995260663507	0.03317535545023697
CHEMBL2000-Seed14	128	7	74	1	9	2	0.6066350710900474	0.35071090047393366	0.04265402843601896
CHEMBL1875-Seed22	126	3	73	2	9	1	0.6057692307692307	0.35096153846153844	0.04326923076923077
CHEMBL1875-Seed29	119	2	80	3	9	1	0.5721153846153846	0.38461538461538464	0.04326923076923077
CHEMBL1875-Seed31	125	3	73	2	10	1	0.6009615384615384	0.35096153846153844	0.04807692307692308
CHEMBL2842-Seed2	125	5	72	2	9	1	0.6067961165048543	0.34951456310679613	0.043689320388349516
CHEMBL2842-Seed10	142	5	59	2	5	1	0.6893203883495146	0.28640776699029125	0.024271844660194174
CHEMBL2842-Seed17	141	3	57	4	8	1	0.6844660194174758	0.2766990291262136	0.038834951456310676
CHEMBL4822-Seed1	116	3	76	6	10	2	0.5742574257425742	0.37623762376237624	0.04950495049504951
CHEMBL4822-Seed2	124	5	68	3	10	3	0.6138613861386139	0.33663366336633666	0.04950495049504951
CHEMBL4822-Seed15	126	7	68	3	8	1	0.6237623762376238	0.33663366336633666	0.039603960396039604
CHEMBL280-Seed1	124	5	68	9	9	1	0.6169154228855721	0.3383084577114428	0.04477611940298507
CHEMBL280-Seed2	143	13	51	1	7	1	0.7114427860696517	0.2537313432835821	0.03482587064676617
CHEMBL280-Seed5	144	11	54	3	3	1	0.7164179104477612	0.26865671641791045	0.014925373134328358
CHEMBL3473-Seed6	149	6	44	3	7	1	0.745	0.22	0.035
CHEMBL3473-Seed10	132	5	60	3	8	2	0.66	0.3	0.04
CHEMBL3473-Seed12	132	2	58	7	10	1	0.66	0.29	0.05
CHEMBL3510-Seed5	136	3	55	2	8	1	0.6834170854271356	0.27638190954773867	0.04020100502512563
CHEMBL3510-Seed6	126	1	66	4	7	1	0.6331658291457286	0.3316582914572864	0.035175879396984924
CHEMBL3510-Seed12	107	2	80	3	12	1	0.5376884422110553	0.4020100502512563	0.06030150753768844
CHEMBL2617-Seed3	146	4	47	2	3	1	0.7448979591836735	0.23979591836734693	0.015306122448979591
CHEMBL2617-Seed7	126	5	63	1	7	1	0.6428571428571429	0.32142857142857145	0.03571428571428571
CHEMBL2617-Seed9	150	4	44	2	2	1	0.7653061224489796	0.22448979591836735	0.01020408163265306
CHEMBL6136-Seed3	126	6	51	4	6	1	0.6885245901639344	0.2786885245901639	0.03278688524590164
CHEMBL6136-Seed4	110	3	63	6	10	2	0.6010928961748634	0.3442622950819672	0.0546448087431694
CHEMBL6136-Seed5	87	1	79	7	17	3	0.47540983606557374	0.43169398907103823	0.09289617486338798
CHEMBL2360-Seed1	118	6	55	2	6	1	0.659217877094972	0.30726256983240224	0.0335195530726257
CHEMBL2360-Seed12	136	5	39	3	4	1	0.7597765363128491	0.21787709497206703	0.0223463687150838
CHEMBL2360-Seed20	115	1	57	7	7	1	0.6424581005586593	0.31843575418994413	0.03910614525139665
CHEMBL1833-Seed6	98	3	69	6	6	2	0.5664739884393064	0.3988439306358382	0.03468208092485549
CHEMBL1833-Seed9	105	4	61	6	7	1	0.6069364161849711	0.35260115606936415	0.04046242774566474
CHEMBL1833-Seed12	102	5	61	5	10	1	0.5895953757225434	0.35260115606936415	0.057803468208092484
CHEMBL1983-Seed3	118	4	47	2	4	1	0.6982248520710059	0.2781065088757396	0.023668639053254437
CHEMBL1983-Seed9	99	1	60	4	10	2	0.5857988165680473	0.35502958579881655	0.05917159763313609
CHEMBL1983-Seed23	114	5	50	1	5	1	0.6745562130177515	0.2958579881656805	0.029585798816568046
CHEMBL1741186-Seed2	90	4	68	9	10	1	0.5357142857142857	0.40476190476190477	0.05952380952380952
CHEMBL1741186-Seed4	105	9	57	4	6	1	0.625	0.3392857142857143	0.03571428571428571
CHEMBL1741186-Seed7	116	8	49	5	3	1	0.6904761904761905	0.2916666666666667	0.017857142857142856
CHEMBL1926488-Seed3	108	5	55	5	3	1	0.6506024096385542	0.3313253012048193	0.018072289156626505
CHEMBL1926488-Seed5	97	4	62	4	7	3	0.5843373493975904	0.37349397590361444	0.04216867469879518
CHEMBL1926488-Seed10	99	5	62	5	5	1	0.5963855421686747	0.37349397590361444	0.030120481927710843
CHEMBL2971-Seed3	99	5	53	3	8	1	0.61875	0.33125	0.05
CHEMBL2971-Seed7	113	1	44	7	3	1	0.70625	0.275	0.01875
CHEMBL2971-Seed9	119	3	38	5	3	1	0.74375	0.2375	0.01875
CHEMBL4792-Seed4	110	2	41	4	8	1	0.6918238993710691	0.2578616352201258	0.050314465408805034
CHEMBL4792-Seed13	106	4	48	2	5	1	0.6666666666666666	0.3018867924528302	0.031446540880503145
CHEMBL4792-Seed15	103	4	49	1	7	2	0.6477987421383647	0.3081761006289308	0.0440251572327044
CHEMBL4005-Seed6	104	4	47	4	4	1	0.6709677419354839	0.3032258064516129	0.025806451612903226
CHEMBL4005-Seed9	95	4	51	4	9	1	0.6129032258064516	0.32903225806451614	0.05806451612903226
CHEMBL4005-Seed10	107	4	44	4	4	1	0.6903225806451613	0.2838709677419355	0.025806451612903226
CHEMBL5023-Seed2	98	4	47	7	6	2	0.6490066225165563	0.31125827814569534	0.039735099337748346
CHEMBL5023-Seed3	88	6	56	6	7	1	0.5827814569536424	0.3708609271523179	0.046357615894039736
CHEMBL5023-Seed4	76	10	61	2	14	1	0.5033112582781457	0.40397350993377484	0.09271523178807947
CHEMBL1898-Seed3	86	2	56	4	6	1	0.581081081081081	0.3783783783783784	0.04054054054054054
CHEMBL1898-Seed6	111	4	30	2	7	1	0.75	0.20270270270270271	0.0472972972972973
CHEMBL1898-Seed23	91	3	49	3	8	1	0.6148648648648649	0.3310810810810811	0.05405405405405406
CHEMBL333-Seed2	100	6	40	2	4	1	0.6944444444444444	0.2777777777777778	0.027777777777777776
CHEMBL333-Seed6	97	6	44	2	3	1	0.6736111111111112	0.3055555555555556	0.020833333333333332
CHEMBL333-Seed7	103	1	40	7	1	1	0.7152777777777778	0.2777777777777778	0.006944444444444444
CHEMBL5407-Seed2	88	6	48	7	6	1	0.6197183098591549	0.3380281690140845	0.04225352112676056
CHEMBL5407-Seed4	89	7	45	5	8	2	0.6267605633802817	0.31690140845070425	0.056338028169014086
CHEMBL5407-Seed6	84	5	49	7	9	2	0.5915492957746479	0.34507042253521125	0.06338028169014084
CHEMBL1163125-Seed7	78	2	53	4	10	1	0.5531914893617021	0.375886524822695	0.07092198581560284
CHEMBL1163125-Seed13	77	3	56	3	8	1	0.5460992907801419	0.3971631205673759	0.05673758865248227
CHEMBL1163125-Seed18	99	2	37	4	5	1	0.7021276595744681	0.2624113475177305	0.03546099290780142
CHEMBL216-Seed5	112	4	28	1	1	1	0.7943262411347518	0.19858156028368795	0.0070921985815602835
CHEMBL216-Seed6	85	4	51	1	5	1	0.6028368794326241	0.3617021276595745	0.03546099290780142
CHEMBL216-Seed12	87	4	49	1	5	1	0.6170212765957447	0.3475177304964539	0.03546099290780142
CHEMBL5113-Seed3	89	6	45	3	5	1	0.6402877697841727	0.3237410071942446	0.03597122302158273
CHEMBL5113-Seed7	85	6	48	2	6	2	0.6115107913669064	0.34532374100719426	0.04316546762589928
CHEMBL5113-Seed10	93	6	43	3	3	1	0.6690647482014388	0.30935251798561153	0.02158273381294964
CHEMBL3018-Seed8	83	2	49	8	3	2	0.6148148148148148	0.362962962962963	0.022222222222222223
CHEMBL3018-Seed12	84	1	46	9	5	2	0.6222222222222222	0.34074074074074073	0.037037037037037035
CHEMBL3018-Seed34	98	9	33	2	4	1	0.725925925925926	0.24444444444444444	0.02962962962962963
CHEMBL4482-Seed5	83	5	42	3	4	1	0.6434108527131783	0.32558139534883723	0.031007751937984496
CHEMBL4482-Seed12	66	2	55	6	8	1	0.5116279069767442	0.4263565891472868	0.06201550387596899
CHEMBL4482-Seed17	72	5	50	3	7	1	0.5581395348837209	0.3875968992248062	0.05426356589147287
CHEMBL1795117-Seed1	76	5	48	5	5	1	0.5891472868217055	0.37209302325581395	0.03875968992248062
CHEMBL1795117-Seed8	88	1	37	8	4	2	0.6821705426356589	0.2868217054263566	0.031007751937984496
CHEMBL1795117-Seed16	90	5	37	5	2	1	0.6976744186046512	0.2868217054263566	0.015503875968992248
CHEMBL202-Seed1	70	3	45	5	6	1	0.5785123966942148	0.371900826446281	0.049586776859504134
CHEMBL202-Seed5	81	7	36	1	4	1	0.6694214876033058	0.2975206611570248	0.03305785123966942
CHEMBL202-Seed8	82	3	37	5	2	1	0.6776859504132231	0.30578512396694213	0.01652892561983471
CHEMBL235-Seed7	73	2	42	2	4	1	0.6134453781512605	0.35294117647058826	0.03361344537815126
CHEMBL235-Seed10	79	3	36	1	4	1	0.6638655462184874	0.3025210084033613	0.03361344537815126
CHEMBL235-Seed11	73	1	42	3	4	1	0.6134453781512605	0.35294117647058826	0.03361344537815126
CHEMBL3922-Seed12	84	1	29	5	4	1	0.717948717948718	0.24786324786324787	0.03418803418803419
CHEMBL3922-Seed19	71	3	39	1	7	3	0.6068376068376068	0.3333333333333333	0.05982905982905983
CHEMBL3922-Seed25	72	2	42	4	3	1	0.6153846153846154	0.358974358974359	0.02564102564102564
CHEMBL2079846-Seed21	77	2	35	3	2	1	0.6754385964912281	0.30701754385964913	0.017543859649122806
CHEMBL2079846-Seed34	75	2	36	3	3	1	0.6578947368421053	0.3157894736842105	0.02631578947368421
CHEMBL2079846-Seed36	76	2	35	3	3	1	0.6666666666666666	0.30701754385964913	0.02631578947368421
CHEMBL2056-Seed9	70	1	39	3	4	1	0.6194690265486725	0.34513274336283184	0.035398230088495575
CHEMBL2056-Seed27	78	1	32	3	3	1	0.6902654867256637	0.2831858407079646	0.02654867256637168
CHEMBL2056-Seed29	74	2	30	1	9	2	0.6548672566371682	0.26548672566371684	0.07964601769911504
CHEMBL3267-Seed7	66	4	31	1	1	1	0.673469387755102	0.3163265306122449	0.01020408163265306
CHEMBL3267-Seed11	62	3	32	2	4	1	0.6326530612244898	0.32653061224489793	0.04081632653061224
CHEMBL3267-Seed12	57	2	37	3	4	1	0.5816326530612245	0.37755102040816324	0.04081632653061224
CHEMBL321-Seed1	63	2	27	3	5	1	0.6631578947368421	0.28421052631578947	0.05263157894736842
CHEMBL321-Seed5	65	3	27	1	3	2	0.6842105263157895	0.28421052631578947	0.031578947368421054
CHEMBL321-Seed16	68	1	23	3	4	2	0.7157894736842105	0.24210526315789474	0.042105263157894736
CHEMBL4361-Seed13	58	3	29	1	3	1	0.6444444444444445	0.32222222222222224	0.03333333333333333
CHEMBL4361-Seed17	53	3	31	1	6	1	0.5888888888888889	0.34444444444444444	0.06666666666666667
CHEMBL4361-Seed21	57	3	30	1	3	1	0.6333333333333333	0.3333333333333333	0.03333333333333333
CHEMBL1946-Seed2	60	2	26	1	2	1	0.6818181818181818	0.29545454545454547	0.022727272727272728
CHEMBL1946-Seed15	58	2	28	1	2	1	0.6590909090909091	0.3181818181818182	0.022727272727272728
CHEMBL1946-Seed17	60	2	23	1	5	1	0.6818181818181818	0.26136363636363635	0.056818181818181816
CHEMBL2014-Seed2	69	4	15	1	2	1	0.8023255813953488	0.1744186046511628	0.023255813953488372
CHEMBL2014-Seed19	56	2	26	2	4	2	0.6511627906976745	0.3023255813953488	0.046511627906976744
CHEMBL2014-Seed34	43	4	38	1	5	1	0.5	0.4418604651162791	0.05813953488372093
CHEMBL3979-Seed10	48	2	21	1	5	1	0.6486486486486487	0.28378378378378377	0.06756756756756757
CHEMBL3979-Seed19	44	1	27	2	3	1	0.5945945945945946	0.36486486486486486	0.04054054054054054
CHEMBL3979-Seed23	47	1	25	2	2	1	0.6351351351351351	0.33783783783783783	0.02702702702702703
CHEMBL208-Seed4	50	2	21	1	2	1	0.684931506849315	0.2876712328767123	0.0273972602739726
CHEMBL208-Seed27	47	1	23	1	3	2	0.6438356164383562	0.3150684931506849	0.0410958904109589
CHEMBL208-Seed28	48	2	23	1	2	1	0.6575342465753424	0.3150684931506849	0.0273972602739726
CHEMBL203-Seed10	49	2	18	1	2	1	0.7101449275362319	0.2608695652173913	0.028985507246376812
CHEMBL203-Seed13	43	1	24	2	2	1	0.6231884057971014	0.34782608695652173	0.028985507246376812
CHEMBL203-Seed32	48	1	17	1	4	2	0.6956521739130435	0.2463768115942029	0.057971014492753624
CHEMBL262-Seed7	41	2	22	1	5	2	0.6029411764705882	0.3235294117647059	0.07352941176470588
CHEMBL262-Seed12	43	3	22	1	3	1	0.6323529411764706	0.3235294117647059	0.04411764705882353
CHEMBL262-Seed14	42	2	23	2	3	1	0.6176470588235294	0.3382352941176471	0.04411764705882353
