	CHEMBL3242	CHEMBL253	CHEMBL261	CHEMBL233	CHEMBL2820	CHEMBL4072	CHEMBL264	CHEMBL237	CHEMBL344	CHEMBL284	CHEMBL4523	CHEMBL205	CHEMBL244	CHEMBL1800	CHEMBL3837	CHEMBL218	CHEMBL2147	CHEMBL204	CHEMBL2034	CHEMBL236
CHEMBL3242	10.000000927158492	9.410892270788638	9.814059820547833	9.479145339741184	8.937088291023626	8.40632660693498	9.937589687597217	9.724597598393132	9.578178156724796	9.237769276216337	8.312005283647276	9.836351474907163	9.909507190377534	7.7268226015350265	8.532171066237328	9.635461771089183	8.312859422230417	9.27473725051858	7.942955954533453	9.461258210691785
CHEMBL253	9.410892270788638	10.000000868307469	9.225411641174468	9.842129297356372	9.52359569481768	8.994836742758812	9.463087722577617	9.684793155151757	9.802543260755211	9.807078504550415	8.899118553125806	9.24784128023231	9.49620198424773	8.315332737358858	9.11639395927705	9.764967075190327	8.899369652897194	9.8082870822528	8.531466090357284	9.946991020123768
CHEMBL261	9.814059820547833	9.225411641174468	10.000000945752605	9.293204233130524	8.751356383009425	8.220385500324321	9.7570704403202	9.539116968778961	9.392237050114137	9.05332980754566	8.126524654033105	9.972251324808502	9.72770586345109	7.540881494924365	8.346690436623156	9.449891499765934	8.126918315619756	9.089898663182433	7.757014847922791	9.275317104081125
CHEMBL233	9.479145339741184	9.842129297356372	9.293204233130524	10.000000875072933	9.456099639061387	8.92718214226673	9.530742329835162	9.75404407168503	9.885484304870353	9.6947015767674	8.830455404796643	9.315495887489854	9.563856591505274	8.247678136866776	9.027330803961194	9.84246524367295	8.831873597140902	9.666598333395747	8.463811489865202	9.861067544781973
CHEMBL2820	8.937088291023626	9.52359569481768	8.751356383009425	9.456099639061387	10.000000820902374	9.46888764649459	8.988772532182049	9.211016735966204	9.357469040837133	9.669669425762836	9.363376041976045	8.773582451821756	9.021708492842924	8.789383641094638	9.531770912501068	9.298564007661403	9.362433076085098	9.6608057670325	9.005516994093062	9.475273919476205
CHEMBL4072	8.40632660693498	8.994836742758812	8.220385500324321	8.92718214226673	9.46888764649459	10.00000076779106	8.457923597028959	8.681225338878827	8.8281493351864	9.164395136252528	9.778287276876656	8.242677154683651	8.491037858699071	9.312383347716343	9.607292086196871	8.770494891300043	9.777418768987307	9.12975554535818	9.52413084359607	8.945069269527416
CHEMBL264	9.937589687597217	9.463087722577617	9.7570704403202	9.530742329835162	8.988772532182049	8.457923597028959	10.000000921998792	9.776699157818749	9.629775146818774	9.29251903606749	8.364315665970238	9.780177784678553	9.938088559027051	7.778419591629005	8.584416194445497	9.687429596470572	8.364456412324394	9.32796761996514	7.994552944627431	9.512855200785763
CHEMBL237	9.724597598393132	9.684793155151757	9.539116968778961	9.75404407168503	9.211016735966204	8.681225338878827	9.776699157818749	10.000000899668617	9.853076888668642	9.501588924940446	8.586445701910968	9.561452715473441	9.809813419488862	8.00172133347887	8.806964268152754	9.909463929406375	8.586790694045717	9.53545212375183	8.217854686477299	9.734555474981038
CHEMBL344	9.578178156724796	9.802543260755211	9.392237050114137	9.885484304870353	9.357469040837133	8.8281493351864	9.629775146818774	9.853076888668642	10.000000884976215	9.618015513369206	8.726928634984644	9.414528704473467	9.662889408488887	8.148645329786445	8.933890432339842	9.929378111791046	8.726009778811042	9.645708315349074	8.364778682784872	9.852814251640615
CHEMBL284	9.237769276216337	9.807078504550415	9.05332980754566	9.6947015767674	9.669669425762836	9.164395136252528	9.29251903606749	9.501588924940446	9.618015513369206	10.00000085135163	9.070787205193808	9.075834446232841	9.324976021770036	8.484891130852576	9.255366304719665	9.584406627387322	9.070927951547965	9.84470823081797	8.701024483851002	9.758072455746763
CHEMBL4523	8.312005283647276	8.899118553125806	8.126524654033105	8.830455404796643	9.363376041976045	9.778287276876656	8.364315665970238	8.586445701910968	8.726928634984644	9.070787205193808	10.000000758430266	8.149069223624931	8.397346281685033	9.414104684089033	9.696534446819582	8.673859239561938	9.950718942376808	9.036147614299459	9.630238037087459	8.849726395315193
CHEMBL205	9.836351474907163	9.24784128023231	9.972251324808502	9.315495887489854	8.773582451821756	8.242677154683651	9.780177784678553	9.561452715473441	9.414528704473467	9.075834446232841	8.149069223624931	10.000000943523437	9.750624680155921	7.563173149283698	8.369169752100191	9.472183154125265	8.149209969979088	9.112403301869614	7.779306502282124	9.297608758440456
CHEMBL244	9.909507190377534	9.49620198424773	9.72770586345109	9.563856591505274	9.021708492842924	8.491037858699071	9.938088559027051	9.809813419488862	9.662889408488887	9.324976021770036	8.397346281685033	9.750624680155921	10.000000918687368	7.811533853299114	8.61753045611561	9.720543858140685	8.397482450922437	9.360903580626015	8.027667206297542	9.545969462455876
CHEMBL1800	7.7268226015350265	8.315332737358858	7.540881494924365	8.247678136866776	8.789383641094638	9.312383347716343	7.778419591629005	8.00172133347887	8.148645329786445	8.484891130852576	9.414104684089033	7.563173149283698	7.811533853299114	10.000000699840657	9.118124675434363	8.09099088590009	9.385787259679809	8.450251539958224	9.683867726350849	8.265565264127462
CHEMBL3837	8.532171066237328	9.11639395927705	8.346690436623156	9.027330803961194	9.531770912501068	9.607292086196871	8.584416194445497	8.806964268152754	8.933890432339842	9.255366304719665	9.696534446819582	8.369169752100191	8.61753045611561	9.118124675434363	10.00000078044032	8.88978357772908	9.73030478684225	9.256248142774718	9.410137530622254	9.069245700837378
CHEMBL218	9.635461771089183	9.764967075190327	9.449891499765934	9.84246524367295	9.298564007661403	8.770494891300043	9.687429596470572	9.909463929406375	9.929378111791046	9.584406627387322	8.673859239561938	9.472183154125265	9.720543858140685	8.09099088590009	8.88978357772908	10.000000890741656	8.674337965740918	9.600771670751701	8.307124238898515	9.805334991713849
CHEMBL2147	8.312859422230417	8.899369652897194	8.126918315619756	8.831873597140902	9.362433076085098	9.777418768987307	8.364456412324394	8.586790694045717	8.726009778811042	9.070927951547965	9.950718942376808	8.149209969979088	8.397482450922437	9.385787259679809	9.73030478684225	8.674337965740918	10.00000075844434	9.036288360653614	9.630097290747376	8.851047877555718
CHEMBL204	9.27473725051858	9.8082870822528	9.089898663182433	9.666598333395747	9.6608057670325	9.12975554535818	9.32796761996514	9.53545212375183	9.645708315349074	9.84470823081797	9.036147614299459	9.112403301869614	9.360903580626015	8.450251539958224	9.256248142774718	9.600771670751701	9.036288360653614	10.00000085481559	8.666384892956652	9.788798501511666
CHEMBL2034	7.942955954533453	8.531466090357284	7.757014847922791	8.463811489865202	9.005516994093062	9.52413084359607	7.994552944627431	8.217854686477299	8.364778682784872	8.701024483851002	9.630238037087459	7.779306502282124	8.027667206297542	9.683867726350849	9.410137530622254	8.307124238898515	9.630097290747376	8.666384892956652	10.000000721453993	8.481698617125888
CHEMBL236	9.461258210691785	9.946991020123768	9.275317104081125	9.861067544781973	9.475273919476205	8.945069269527416	9.512855200785763	9.734555474981038	9.852814251640615	9.758072455746763	8.849726395315193	9.297608758440456	9.545969462455876	8.265565264127462	9.069245700837378	9.805334991713849	8.851047877555718	9.788798501511666	8.481698617125888	10.00000087328422
